Symbol,Date,Open,High,Low,Close,Volume
A,15-Jul-2022,117.78,118.88,116,118.83,969400
AA,15-Jul-2022,41.56,43.06,40.3101,43.06,5191700
AAA,15-Jul-2022,24.265,24.265,24.265,24.265,0
AAAU,15-Jul-2022,16.95,16.961,16.87,16.94,1279900
AAC,15-Jul-2022,9.83,9.855,9.83,9.85,125600
AAC.U,15-Jul-2022,9.87,9.8725,9.87,9.8725,500
AAC.W,15-Jul-2022,0.11,0.1557,0.11,0.1242,13100
AACG,15-Jul-2022,1.35,1.35,1.22,1.2799,24000
AACI,15-Jul-2022,9.88,9.8854,9.88,9.8854,5300
AADI,15-Jul-2022,13,13,12.45,12.86,45000
AADR,15-Jul-2022,46.24,47.05,46.24,47.05,800
AAI-B,15-Jul-2022,21.11,21.5083,21.11,21.5083,800
AAIC,15-Jul-2022,3.08,3.13,3.06,3.08,40000
AAI-C,15-Jul-2022,20.5638,20.88,20.5638,20.8502,2400
AAIN,15-Jul-2022,24.2,24.35,24.2,24.35,800
AAL,15-Jul-2022,14.48,14.56,14.05,14.47,30181900
AAM-A,15-Jul-2022,24.63,24.63,24.15,24.26,12300
AAM-B,15-Jul-2022,24.74,24.93,24.41,24.43,20300
AAME,15-Jul-2022,2.98,3.129,2.57,2.67,8100
AAN,15-Jul-2022,14.37,14.69,14.34,14.67,1178400
AAOI,15-Jul-2022,1.56,1.68,1.53,1.63,149600
AAON,15-Jul-2022,53.72,54.115,51.9729,53.98,157000
AAP,15-Jul-2022,188.19,190,186.27,188.71,668500
AAPL,15-Jul-2022,149.78,150.86,148.2,150.17,76259900
AAQ.W,15-Jul-2022,0.1152,0.12,0.1152,0.1199,1300
AAQC,15-Jul-2022,9.78,9.78,9.78,9.78,100
AAT,15-Jul-2022,29.34,29.42,28.825,29.36,202000
AATC,15-Jul-2022,5.21,5.2573,5.11,5.11,6300
AAU,15-Jul-2022,0.215,0.2201,0.21,0.214,165300
AAWW,15-Jul-2022,61.83,61.83,60.14,61.31,253900
AAXJ,15-Jul-2022,66.52,66.765,65.88,66.74,877800
AB,15-Jul-2022,40.97,41.3018,40.2902,41.03,200800
ABB,15-Jul-2022,26.55,26.95,26.33,26.93,1463200
ABBV,15-Jul-2022,151.84,153.8653,151.425,153.62,4872900
ABC,15-Jul-2022,141.53,142.28,139.89,142.22,977100
ABCB,15-Jul-2022,39.85,40.85,39.149,40.53,323000
ABCL,15-Jul-2022,10.95,11.0396,10.09,10.54,3313800
ABCM,15-Jul-2022,13.59,13.81,13.58,13.67,140600
ABEO,15-Jul-2022,4.76,5.0899,4.7301,4.85,188300
ABEQ,15-Jul-2022,26.519,26.5579,26.48,26.5579,4400
ABEV,15-Jul-2022,2.68,2.71,2.65,2.65,32876000
ABG,15-Jul-2022,154.05,162.78,152.99,161.28,247600
ABIO,15-Jul-2022,2.46,2.5,2.45,2.49,29800
ABM,15-Jul-2022,42.66,42.86,42.11,42.56,251600
ABMD,15-Jul-2022,263.83,268.345,260.2325,268.23,255200
ABNB,15-Jul-2022,92.55,95.65,90.66,94.66,7497100
ABOS,15-Jul-2022,6.47,6.77,6.22,6.29,201700
ABR,15-Jul-2022,13.81,13.906,13.4101,13.83,1788000
ABR-D,15-Jul-2022,20,20.18,20,20.014,14700
ABR-E,15-Jul-2022,19.91,19.93,19.43,19.6744,16100
ABR-F,15-Jul-2022,19.92,20.08,19.92,20,4000
ABSI,15-Jul-2022,3.33,3.405,3.185,3.38,295500
ABST,15-Jul-2022,8.42,8.54,8.34,8.38,24300
ABT,15-Jul-2022,107.41,108.98,107.26,108.82,4617800
ABTX,15-Jul-2022,38.75,39.91,38.685,39.64,60500
ABUS,15-Jul-2022,2.57,2.59,2.4505,2.54,525000
ABVC,15-Jul-2022,0.84,0.85,0.7067,0.7823,126300
AC,15-Jul-2022,37.66,37.9,37.39,37.9,12500
ACA,15-Jul-2022,46.02,46.2199,44.74,45.74,156800
ACA.W,15-Jul-2022,0.0897,0.0897,0.0897,0.0897,100
ACABW,15-Jul-2022,0.0989,0.0989,0.0859,0.0859,300
ACACU,15-Jul-2022,9.95,9.95,9.95,9.95,100
ACAD,15-Jul-2022,15.8,15.8,15.06,15.28,3163600
ACAH,15-Jul-2022,9.79,9.79,9.79,9.79,189700
ACAHU,15-Jul-2022,9.8,9.8,9.8,9.8,100
ACAX,15-Jul-2022,9.9,9.92,9.89,9.89,58100
ACAXR,15-Jul-2022,0.1,0.1,0.1,0.1,200
ACAXW,15-Jul-2022,0.0403,0.0403,0.04,0.04,15000
ACB,15-Jul-2022,1.47,1.49,1.33,1.37,8370300
ACBA,15-Jul-2022,10.3159,10.3159,10.3159,10.3159,100
ACC,15-Jul-2022,64.92,65.12,64.91,65.11,1039900
ACCD,15-Jul-2022,9.77,9.825,8.87,9.23,1040300
ACCO,15-Jul-2022,6.6,6.68,6.45,6.63,473900
ACEL,15-Jul-2022,11.13,11.23,11.05,11.22,206200
ACER,15-Jul-2022,1.4215,1.5393,1.42,1.5341,56200
ACES,15-Jul-2022,49.02,49.04,47.23,48.95,74900
ACET,15-Jul-2022,17.75,18.21,17.06,18.19,355100
ACEV,15-Jul-2022,10.18,10.2,10.17,10.2,15000
ACEVW,15-Jul-2022,0.1,0.11,0.1,0.108,42800
ACGL,15-Jul-2022,42.93,43.465,42.4,43.13,10441200
ACGLN,15-Jul-2022,19.16,19.59,19.14,19.27,94200
ACGLO,15-Jul-2022,22.5,22.55,22.42,22.42,51000
ACH,15-Jul-2022,8.69,8.85,8.51,8.85,40200
ACH.W,15-Jul-2022,0.537,0.57,0.51,0.5644,5500
ACHC,15-Jul-2022,74.89,76.14,73.8494,76.01,502500
ACHL,15-Jul-2022,2.6,2.75,2.6,2.65,156900
ACHR,15-Jul-2022,3.08,3.23,2.925,3.2,1558400
ACHV,15-Jul-2022,5.26,5.3155,5.25,5.31,36100
ACI,15-Jul-2022,26.5,26.64,25.99,26.07,2149700
ACII,15-Jul-2022,9.82,9.82,9.81,9.82,60900
ACIO,15-Jul-2022,29.11,29.11,28.94,29.02,14200
ACIU,15-Jul-2022,3.41,3.41,3.24,3.36,16400
ACIW,15-Jul-2022,26.99,27.09,26.59,26.82,722300
ACKIU,15-Jul-2022,10.37,10.37,10.37,10.37,100
ACKIW,15-Jul-2022,0.11,0.11,0.109,0.109,4900
ACLS,15-Jul-2022,55.69,56.41,54.24,56.2,193300
ACLX,15-Jul-2022,17.64,17.92,16.5101,16.67,178500
ACM,15-Jul-2022,63.69,64.29,62.6,63.96,321500
ACMR,15-Jul-2022,15.36,15.72,14.9,15.7,285200
ACN,15-Jul-2022,272.1,272.85,266.86,271.52,1741100
ACNB,15-Jul-2022,30.36,31.17,29.925,31.08,28500
ACON,15-Jul-2022,0.8734,0.88,0.7833,0.859,193100
ACONW,15-Jul-2022,0.2045,0.2045,0.1703,0.1703,3800
ACOR,15-Jul-2022,0.4307,0.45,0.4222,0.448,261200
ACP,15-Jul-2022,7.63,7.705,7.63,7.7,72400
ACP-A,15-Jul-2022,22.7397,23.2,22.7397,23.0301,7800
ACQRW,15-Jul-2022,0.17,0.17,0.17,0.17,105100
ACR,15-Jul-2022,7.89,7.98,7.82,7.85,9500
ACR.W,15-Jul-2022,0.19,0.1953,0.16,0.16,11600
ACR-C,15-Jul-2022,20.02,20.06,19.865,19.96,33600
ACR-D,15-Jul-2022,19.94,19.94,19.8546,19.8546,900
ACRE,15-Jul-2022,12.62,12.66,12.2,12.5,753900
ACRO,15-Jul-2022,9.69,9.7,9.69,9.6998,6600
ACRS,15-Jul-2022,15.31,15.46,14.585,15.24,193700
ACRX,15-Jul-2022,0.24,0.2424,0.222,0.2309,1132600
ACSI,15-Jul-2022,43.3599,43.3599,43.3599,43.3599,100
ACST,15-Jul-2022,0.86,0.9,0.821,0.88,75700
ACT,15-Jul-2022,21.86,22.11,21.48,21.98,142600
ACTG,15-Jul-2022,5.04,5.08,4.89,4.91,171600
ACTV,15-Jul-2022,29.73,31.0899,29.73,30.5156,15600
ACU,15-Jul-2022,29.06,29.75,29,29.27,7800
ACV,15-Jul-2022,20.18,20.24,19.94,20.18,24000
ACVA,15-Jul-2022,6.53,6.68,6.31,6.68,1150900
ACVF,15-Jul-2022,28.9534,28.9936,28.91,28.9936,2600
ACWF,15-Jul-2022,30.96,31.1,30.94,31.1,12400
ACWI,15-Jul-2022,83.7,84.22,83.15,84.22,4733900
ACWV,15-Jul-2022,94.32,94.9,94.25,94.88,215300
ACWX,15-Jul-2022,43.51,43.87,43.3,43.87,4647000
ACXP,15-Jul-2022,3.5,3.7,3.4701,3.625,7800
ADAG,15-Jul-2022,1.96,1.9881,1.93,1.935,49700
ADAP,15-Jul-2022,1.72,1.76,1.64,1.71,187200
ADBE,15-Jul-2022,377.79,384.47,376.86,379.86,2488200
ADC,15-Jul-2022,74.44,74.958,73.62,74.78,858100
ADC-A,15-Jul-2022,19,19.19,19,19.05,2000
ADCT,15-Jul-2022,8.57,8.57,8.07,8.1,803100
ADES,15-Jul-2022,4.51,4.56,4.42,4.48,107600
ADFI,15-Jul-2022,8.55,8.5502,8.55,8.5502,1100
ADGI,15-Jul-2022,3.9,4.03,3.795,4.02,346700
ADI,15-Jul-2022,153.84,158.28,153.33,157.97,3736600
ADIL,15-Jul-2022,1.83,1.9,1.61,1.63,1093800
ADILW,15-Jul-2022,0.239,0.24,0.238,0.24,6000
ADIV,15-Jul-2022,13.48,13.48,13.48,13.48,100
ADM,15-Jul-2022,72.35,72.58,71.1518,72,2048700
ADMA,15-Jul-2022,2.26,2.38,2.18,2.3,3830900
ADME,15-Jul-2022,34.575,34.788,34.54,34.788,14000
ADMP,15-Jul-2022,0.516,0.516,0.48,0.5148,413800
ADN,15-Jul-2022,2.66,2.68,2.5501,2.63,597300
ADNT,15-Jul-2022,28.6,28.83,27.555,28.54,846900
ADNWW,15-Jul-2022,0.4638,0.48,0.453,0.47,22700
ADOCR,15-Jul-2022,0.14,0.15,0.14,0.15,200
ADOCW,15-Jul-2022,0.027,0.027,0.0269,0.0269,50300
ADP,15-Jul-2022,213.34,215.03,212.98,214.13,1139500
ADPT,15-Jul-2022,9.51,9.71,9,9.53,971200
ADR.T,15-Jul-2022,0.06,0.06,0.05,0.05,16100
ADRA,15-Jul-2022,9.92,9.92,9.92,9.92,800
ADRE,15-Jul-2022,37.73,38.01,37.31,38.01,1700
ADRT,15-Jul-2022,10.02,10.04,10,10.04,3800
ADSE,15-Jul-2022,7.03,7.15,6.87,7.04,9000
ADSEW,15-Jul-2022,0.87,0.88,0.87,0.8799,3900
ADSK,15-Jul-2022,174.36,177.11,172.6,176.21,1443700
ADT,15-Jul-2022,6.68,6.84,6.615,6.81,1301400
ADTH,15-Jul-2022,2.72,2.84,2.57,2.83,185600
ADTHW,15-Jul-2022,0.3999,0.3999,0.27,0.2936,3300
ADTN,15-Jul-2022,19.19,20.3,18.79,20.2,809400
ADTX,15-Jul-2022,0.1732,0.176,0.165,0.1735,3847500
ADUS,15-Jul-2022,89.78,90.51,88.99,89.94,91600
ADV,15-Jul-2022,4.05,4.255,3.99,4.22,241400
ADVM,15-Jul-2022,1.77,1.78,1.47,1.65,2026800
ADX,15-Jul-2022,15.53,15.68,15.5,15.6,79700
ADXN,15-Jul-2022,1.02,1.039,0.9601,0.9897,124400
AE,15-Jul-2022,32.03,32.06,31.32,31.68,6300
AEAC,15-Jul-2022,9.8489,9.855,9.8489,9.855,17100
AEACU,15-Jul-2022,9.88,9.88,9.88,9.88,100
AEACW,15-Jul-2022,0.0936,0.0948,0.0924,0.0948,1200
AEAE,15-Jul-2022,9.96,9.96,9.96,9.96,28200
AEAEW,15-Jul-2022,0.1511,0.1511,0.1407,0.1463,37100
AEE,15-Jul-2022,87.79,87.88,86.36,87.75,861100
AEF,15-Jul-2022,5.3,5.3899,5.29,5.33,10500
AEFC,15-Jul-2022,22.04,22.25,22.04,22.25,17400
AEG,15-Jul-2022,3.98,4.05,3.955,4.02,2962300
AEHA,15-Jul-2022,10.16,10.16,10.16,10.16,700
AEHAW,15-Jul-2022,0.105,0.105,0.105,0.105,600
AEHL,15-Jul-2022,1.05,1.09,0.985,1.0701,37500
AEHR,15-Jul-2022,8.1,8.26,7.78,8.19,292800
AEI,15-Jul-2022,0.27,0.305,0.268,0.2977,1877500
AEIS,15-Jul-2022,75.77,77.39,75.11,77.06,147500
AEL,15-Jul-2022,34.24,34.65,33.74,34.4,587300
AEL-A,15-Jul-2022,23,23.42,23,23.38,12600
AEL-B,15-Jul-2022,24.25,24.6,24.25,24.56,8700
AEM,15-Jul-2022,43.39,43.48,42.09,42.61,2778200
AEMB,15-Jul-2022,36.6289,36.6289,36.6289,36.6289,20000
AEMD,15-Jul-2022,1,1.0599,1,1.05,206400
AENZ,15-Jul-2022,1.12,1.12,1.02,1.04,9900
AEO,15-Jul-2022,11.73,11.92,11.43,11.78,4456300
AEP,15-Jul-2022,94.47,95.27,93.37,95.22,2376800
AEPPZ,15-Jul-2022,53.7,53.7,53.386,53.45,4200
AER,15-Jul-2022,39.31,40.385,38.3,40.04,616600
AERC,15-Jul-2022,10.93,12.36,10.76,11.08,1493500
AERI,15-Jul-2022,8.03,8.15,7.9,7.97,236300
AES,15-Jul-2022,20.3,20.4875,18.9,20.35,6335400
AESC,15-Jul-2022,84.14,84.96,81.62,84.5076,3900
AESE,15-Jul-2022,1.49,1.531,1.4808,1.525,76500
AESR,15-Jul-2022,11.18,11.22,11.18,11.22,9200
AEV.W,15-Jul-2022,0.48,0.54,0.4799,0.54,8200
AEVA,15-Jul-2022,3.3,3.3,3.125,3.25,685500
AEY,15-Jul-2022,1.28,1.37,1.28,1.35,12200
AEYE,15-Jul-2022,6.07,6.07,5.8,5.84,28500
AEZS,15-Jul-2022,0.22,0.2379,0.215,0.2379,798200
AFAR,15-Jul-2022,9.87,9.87,9.87,9.87,491300
AFARW,15-Jul-2022,0.06,0.0612,0.05,0.06,43500
AFB,15-Jul-2022,11.77,11.85,11.75,11.78,19500
AFBI,15-Jul-2022,15,15,14.62,14.71,400
AFCG,15-Jul-2022,15.73,15.73,15.2,15.57,130100
AFG,15-Jul-2022,133.22,134.66,132.02,132.94,244800
AFGB,15-Jul-2022,24.6,24.78,24.5615,24.5722,3900
AFGC,15-Jul-2022,22.36,22.7,22.35,22.697,7300
AFGD,15-Jul-2022,23.47,23.64,23.47,23.56,2400
AFIB,15-Jul-2022,1.07,1.2,1.04,1.13,853700
AFIF,15-Jul-2022,8.81,8.82,8.8,8.81,32200
AFK,15-Jul-2022,16.75,16.75,16.45,16.61,5700
AFL,15-Jul-2022,54.04,54.575,53.75,54.31,2038400
AFLG,15-Jul-2022,22.84,22.9137,22.84,22.9137,300
AFMC,15-Jul-2022,21.26,21.3,21.26,21.3,200
AFMD,15-Jul-2022,3.06,3.06,2.84,2.91,546200
AFRI,15-Jul-2022,10.5,10.56,10.28,10.28,8700
AFRIW,15-Jul-2022,0.45,0.45,0.3976,0.4238,1900
AFRM,15-Jul-2022,22.49,23.08,21.15,23.06,14497300
AFSM,15-Jul-2022,22.1512,22.2047,22.14,22.2047,600
AFT,15-Jul-2022,12.79,12.81,12.75,12.8,38400
