Symbol,Date,Open,High,Low,Close,Volume
AADR,13-Feb-2018,58.29,58.448,57.925,58.22,31800
AAMC,13-Feb-2018,67.2,67.2,67.2,67.2,100
AAU,13-Feb-2018,0.89,0.93,0.89,0.93,157800
ABE,13-Feb-2018,15.01,15.01,14.84,14.91,8200
ACIM,13-Feb-2018,77.34,77.67,77.24,77.3,2500
ACSI,13-Feb-2018,30.38,30.54,30.38,30.54,1000
ACU,13-Feb-2018,23.16,24.18,23.16,23.45,2400
ACWF,13-Feb-2018,30.44,30.7,30.44,30.69,11100
ACWV,13-Feb-2018,82.03,82.71,81.92,82.55,139100
ACY,13-Feb-2018,14.375,14.469,14.25,14.25,1000
AE,13-Feb-2018,40.9,44.49,40.11,44.25,19900
AFK,13-Feb-2018,24.95,25.24,24.95,25.18,4000
AFTY,13-Feb-2018,18.21,18.28,18.14,18.28,11600
AGG,13-Feb-2018,106.79,106.91,106.7,106.82,4256100
AGGE,13-Feb-2018,18.83,18.86,18.82,18.86,156000
AGGP,13-Feb-2018,19.3,19.3,19.22,19.265,223700
AGGY,13-Feb-2018,49.27,49.36,49.22,49.32,49200
AGQ,13-Feb-2018,32.01,32.29,31.71,32.13,104100
AGT,13-Feb-2018,29.925,30.04,29.925,30.04,600
AGZ,13-Feb-2018,111.67,111.69,111.61,111.63,10700
AIEQ,13-Feb-2018,25.88,26.04,25.75,26,48600
AINC,13-Feb-2018,90.7,95,90.7,95,1100
AIRI,13-Feb-2018,1.37,1.4,1.36,1.39,14400
AKG,13-Feb-2018,0.92,0.953,0.895,0.951,504800
ALD,13-Feb-2018,45.93,46.01,45.93,46.01,300
ALFA,13-Feb-2018,43.6,43.99,43.6,43.98,5500
ALFI,13-Feb-2018,24.68,24.68,24.68,24.68,300
ALN,13-Feb-2018,0.175,0.21,0.175,0.2,1673600
ALO,13-Feb-2018,3.07,3.07,2.91,2.96,120300
ALTS,13-Feb-2018,37.44,37.49,37.44,37.44,800
AMJ,13-Feb-2018,27.82,28.18,27.63,28.11,2077300
AMJL,13-Feb-2018,19.75,19.75,19.75,19.75,100
AMLP,13-Feb-2018,10.67,10.9,10.62,10.85,8017000
AMLX,13-Feb-2018,11.43,11.43,11.43,11.43,0
AMPE,13-Feb-2018,3.06,3.57,3.01,3.29,2921400
AMS,13-Feb-2018,2.5,2.6,2.5,2.55,9400
AMU,13-Feb-2018,17.41,17.74,16.92,17.7,166700
AMUB,13-Feb-2018,17.3,17.3,17.3,17.3,1200
AMZA,13-Feb-2018,8.18,8.35,8.16,8.33,1121200
ANGL,13-Feb-2018,29.33,29.39,29.2,29.28,548900
AOA,13-Feb-2018,53.22,53.42,53.03,53.37,137600
AOK,13-Feb-2018,33.98,34.08,33.96,34.07,49100
AOM,13-Feb-2018,37.43,37.55,37.38,37.54,136500
AOR,13-Feb-2018,44.21,44.42,44.14,44.32,124200
APHB,13-Feb-2018,1.22,1.22,1.16,1.2,114100
APT,13-Feb-2018,3.6,3.7,3.6,3.7,18500
ARCM,13-Feb-2018,100.32,100.33,100.32,100.33,1100
ARGT,13-Feb-2018,34.99,35.3,34.79,35.19,104900
ARKG,13-Feb-2018,25.68,25.85,25.09,25.79,53200
ARKK,13-Feb-2018,38.6,39.33,38.53,39.27,258700
ARKQ,13-Feb-2018,33.54,33.72,33.33,33.65,20900
ARKW,13-Feb-2018,47.92,48.8,47.92,48.71,185900
ARN.P,13-Feb-2018,87.31,87.31,87.31,87.31,100
ASB.W,13-Feb-2018,4.7,4.7,4.7,4.7,200
ASEA,13-Feb-2018,17.6,17.6,17.33,17.51,2700
ASHR,13-Feb-2018,30.73,31.08,30.6,31.05,1709300
ASHS,13-Feb-2018,32.7,33,32.55,33,19000
ASHX,13-Feb-2018,21.41,21.5,21.41,21.5,500
ASM,13-Feb-2018,1.41,1.43,1.34,1.37,103300
AST,13-Feb-2018,2,2.05,2,2.05,103400
ATMP,13-Feb-2018,20.96,21.25,20.96,21.18,120400
ATNM,13-Feb-2018,0.6,0.61,0.575,0.6,287000
AUG,13-Feb-2018,1.52,1.54,1.46,1.46,35200
AUMN,13-Feb-2018,0.405,0.42,0.395,0.414,52600
AUSE,13-Feb-2018,57.89,58.43,57.8,58.345,7500
AWX,13-Feb-2018,2.03,2.19,2.03,2.18,7800
AXJL,13-Feb-2018,68.9,69.4,68.9,69.4,10100
AXJV,13-Feb-2018,36.19,36.41,36.19,36.27,800
AXU,13-Feb-2018,1.33,1.35,1.24,1.29,393800
AYT,13-Feb-2018,42.22,42.46,40.98,42.37,3900
BAB,13-Feb-2018,29.66,29.88,29.6,29.69,104300
BAL,13-Feb-2018,50.62,50.65,50.27,50.27,1500
BAR,13-Feb-2018,132.34,132.89,132.34,132.86,3000
BBC,13-Feb-2018,31.5,31.87,31,31.87,6000
BBP,13-Feb-2018,40.93,41.07,40.865,41.042,1100
BBRC,13-Feb-2018,19.24,19.49,19.24,19.49,2400
BCD,13-Feb-2018,25.78,25.87,25.78,25.87,2100
BCI,13-Feb-2018,24.13,24.18,24.05,24.14,85100
BCM,13-Feb-2018,28.89,28.98,28.88,28.97,4500
BCV,13-Feb-2018,21,21.07,20.82,21.06,28400
BCV-A,13-Feb-2018,25,25.17,25,25.17,1300
BDCL,13-Feb-2018,14.24,14.71,14.24,14.63,86900
BDCS,13-Feb-2018,19.27,19.73,19.27,19.66,29600
BDD,13-Feb-2018,9.97,10.405,9.97,10.285,1600
BDR,13-Feb-2018,0.57,0.57,0.53,0.54,7200
BEF,13-Feb-2018,24.38,24.38,24.38,24.38,100
BEMO,13-Feb-2018,31.02,31.21,31,31.2,14000
BERN,13-Feb-2018,26.84,26.98,25.81,26.93,16700
BFOR,13-Feb-2018,40.73,40.97,40.68,40.97,5800
BFY,13-Feb-2018,13.89,14.01,13.88,14.01,2800
BGI,13-Feb-2018,1.28,1.28,1.23,1.24,11400
BGSF,13-Feb-2018,16.56,16.65,16.39,16.65,5700
BHB,13-Feb-2018,27.53,27.82,27.29,27.79,23400
BHV,13-Feb-2018,16.205,16.205,16.205,16.205,100
BIBL,13-Feb-2018,25.98,26.21,25.97,26.17,7900
BIL,13-Feb-2018,91.44,91.47,91.44,91.46,4352400
BIV,13-Feb-2018,81.61,81.67,81.5,81.61,780400
BIZD,13-Feb-2018,15.95,16.21,15.91,16.18,148200
BJK,13-Feb-2018,45.58,46.08,45.58,46.08,7100
BJO,13-Feb-2018,49.3,49.3,49.3,49.3,100
BKF,13-Feb-2018,45.5,46.02,45.44,45.93,32600
BKJ,13-Feb-2018,17.9,17.9,17.9,17.9,200
BKLN,13-Feb-2018,23.14,23.14,23.07,23.09,3680500
BLE,13-Feb-2018,13.65,13.79,13.65,13.73,23800
BLES,13-Feb-2018,28.08,28.2,27.94,28.16,11600
BLHY,13-Feb-2018,24.77,24.88,24.62,24.66,23000
BLJ,13-Feb-2018,13.67,13.87,13.67,13.83,6400
BLOK,13-Feb-2018,18.83,19.03,18.79,18.99,123800
BLV,13-Feb-2018,89.66,89.8,89.42,89.72,148900
BND,13-Feb-2018,79.62,79.68,79.53,79.66,2669300
BNDC,13-Feb-2018,24.51,24.51,24.51,24.51,100
BNO,13-Feb-2018,17,17.19,16.91,17.18,46000
BOIL,13-Feb-2018,5.23,5.31,5.19,5.24,965900
BOND,13-Feb-2018,103.84,103.89,103.65,103.83,275900
BOSS,13-Feb-2018,17.75,17.75,17.75,17.75,100
BPMX,13-Feb-2018,0.18,0.18,0.17,0.17,5450500
BRF,13-Feb-2018,23.8,23.93,23.7,23.81,23400
BRG,13-Feb-2018,7.34,7.41,7.16,7.39,327000
BRG-A,13-Feb-2018,25.1,25.25,25.1,25.22,2500
BRG-C,13-Feb-2018,24.7,24.79,24.7,24.79,400
BRG-D,13-Feb-2018,23.9,23.96,23.56,23.96,1900
BRGL,13-Feb-2018,25.92,25.92,25.92,25.92,0
BRN,13-Feb-2018,2,2.14,2,2.11,9100
BRZU,13-Feb-2018,48.76,50,47.85,49.67,214400
BSCI,13-Feb-2018,21.11,21.12,21.1,21.1,202500
BSCJ,13-Feb-2018,21.03,21.03,21,21.02,245600
BSCK,13-Feb-2018,21.15,21.16,21.08,21.12,498500
BSCL,13-Feb-2018,20.89,20.89,20.85,20.88,171700
BSCM,13-Feb-2018,20.88,20.88,20.78,20.83,330900
BSCN,13-Feb-2018,20.46,20.51,20.41,20.46,140200
BSCO,13-Feb-2018,20.45,20.49,20.37,20.43,95500
BSCP,13-Feb-2018,20.11,20.13,20.04,20.07,19200
BSCQ,13-Feb-2018,19.12,19.13,19.02,19.08,10000
BSCR,13-Feb-2018,19.36,19.39,19.33,19.39,61800
BSJI,13-Feb-2018,24.91,24.95,24.9,24.93,240200
BSJJ,13-Feb-2018,24.16,24.16,24.03,24.1,197600
BSJK,13-Feb-2018,24.11,24.19,24.11,24.13,228600
BSJL,13-Feb-2018,24.54,24.54,24.47,24.53,81800
BSJM,13-Feb-2018,24.5,24.5,24.4,24.4,62300
BSJN,13-Feb-2018,25.83,25.83,25.73,25.82,24700
BSJO,13-Feb-2018,24.98,24.99,24.835,24.87,8600
BSJP,13-Feb-2018,24.13,24.14,24.09,24.12,18900
BSV,13-Feb-2018,78.54,78.57,78.53,78.53,3309500
BSWN,13-Feb-2018,14.57,14.58,13.7,13.87,2300
BTAL,13-Feb-2018,18.76,18.8,18.76,18.79,700
BTG,13-Feb-2018,2.94,2.98,2.84,2.89,2982100
BTN,13-Feb-2018,4.7,4.85,4.7,4.75,16300
BTX,13-Feb-2018,2.62,2.64,2.53,2.6,268500
BTX.W,13-Feb-2018,0.13,0.14,0.11,0.12,41500
BUZ,13-Feb-2018,33.12,33.45,33.05,33.45,4700
BVX,13-Feb-2018,2.48,2.5,2.38,2.42,75400
BWL.A,13-Feb-2018,16.38,16.38,16.38,16.38,200
BWX,13-Feb-2018,29,29.05,28.92,29.04,384000
BWZ,13-Feb-2018,32.94,33,32.9,32.955,36800
BYLD,13-Feb-2018,24.44,24.44,24.39,24.43,22400
BZF,13-Feb-2018,18.51,18.6,18.43,18.53,700
BZM,13-Feb-2018,13.37,13.37,13.37,13.37,100
BZQ,13-Feb-2018,7.57,7.64,7.41,7.45,131000
CAFE,13-Feb-2018,11.01,11.03,11.01,11.02,1800
CALF,13-Feb-2018,25.11,25.23,25.11,25.23,1100
CANE,13-Feb-2018,8.91,8.95,8.85,8.92,23100
CANF,13-Feb-2018,2.15,2.19,2.1,2.15,24700
CAPE,13-Feb-2018,116.37,117.18,116.37,117.18,4900
CAW,13-Feb-2018,3.1,3.1,3.1,3.1,100
CBND,13-Feb-2018,31.52,31.55,31.44,31.55,2500
CBON,13-Feb-2018,23.575,23.575,23.575,23.575,700
CCA,13-Feb-2018,10.63,10.78,10.63,10.775,3100
CCF,13-Feb-2018,102.95,105.75,102.005,105.2,18200
CCOR,13-Feb-2018,25.09,25.12,25.08,25.08,16000
CDOR,13-Feb-2018,10.2,10.29,10.14,10.2,11300
CEF,13-Feb-2018,13.12,13.16,13.1,13.12,2867100
CEFL,13-Feb-2018,16.15,16.31,16.13,16.31,125000
CEFS,13-Feb-2018,20.85,20.92,20.83,20.92,6400
CEI,13-Feb-2018,0.12,0.12,0.12,0.12,3624100
CEMB,13-Feb-2018,50.2,50.349,50.08,50.205,7200
CET,13-Feb-2018,26.43,26.55,26.31,26.48,6700
CEV,13-Feb-2018,11.46,11.63,11.46,11.6,33200
CEW,13-Feb-2018,19.71,19.78,19.71,19.75,11400
CGW,13-Feb-2018,33.08,33.26,32.95,33.23,55300
CH,13-Feb-2018,8.85,9.15,8.66,9.085,41100
CHAD,13-Feb-2018,31.16,31.28,30.97,31.02,11100
CHAU,13-Feb-2018,29,29.59,28.68,29.51,196200
CHEP,13-Feb-2018,25.68,25.68,25.68,25.68,900
CHGX,13-Feb-2018,18.75,18.75,18.75,18.75,300
CHII,13-Feb-2018,14.56,14.57,14.45,14.51,1100
CHIM,13-Feb-2018,21.4,21.4,21.4,21.4,100
CHIQ,13-Feb-2018,18.15,18.52,18.15,18.44,830900
CHIX,13-Feb-2018,17.97,18.18,17.67,18.15,42800
CHOC,13-Feb-2018,29.76,29.76,29.76,29.76,100
CIK,13-Feb-2018,3.28,3.28,3.23,3.24,105200
CIS.W,13-Feb-2018,2.5,2.5,2.4,2.5,76500
CIX,13-Feb-2018,14.1,14.2,14.05,14.2,1400
CJNK,13-Feb-2018,25.76,25.86,25.75,25.79,49600
CKX,13-Feb-2018,10.1,10.1,10.05,10.05,300
CLIX,13-Feb-2018,44.45,45.24,44.45,45.1,10900
CLM,13-Feb-2018,15.33,15.41,15.3,15.41,510300
CLTL,13-Feb-2018,105.49,105.49,105.49,105.49,700
CLY,13-Feb-2018,59.83,59.85,59.53,59.78,517200
CLYH,13-Feb-2018,26.43,26.45,26.32,26.32,5800
CMBS,13-Feb-2018,50.41,50.59,50.35,50.43,5800
CMCL,13-Feb-2018,7.31,7.34,7.22,7.34,1400
CMDT,13-Feb-2018,36.93,36.93,36.93,36.93,100
CMF,13-Feb-2018,58.39,58.45,58.3,58.35,69700
CMT,13-Feb-2018,19.78,20.02,19.46,19.59,20600
CN,13-Feb-2018,37.31,37.64,37.31,37.64,11100
CNDA,13-Feb-2018,17.575,17.625,17.525,17.57,22100
CNDF,13-Feb-2018,32.03,32.03,32.03,32.03,300
CNHX,13-Feb-2018,28.42,28.42,28.42,28.42,200
CNSF,13-Feb-2018,25.56,25.56,25.56,25.56,100
CNXT,13-Feb-2018,32.93,33.26,32.73,33.25,17300
CNY,13-Feb-2018,45.44,47.33,45.44,47.33,4200
CNYA,13-Feb-2018,31.71,31.95,31.71,31.95,500
COHN,13-Feb-2018,9.75,9.75,9.75,9.75,100
COM,13-Feb-2018,23.84,23.95,23.83,23.95,42400
COMB,13-Feb-2018,25.67,25.86,25.67,25.82,42600
COMG,13-Feb-2018,26.85,26.98,26.85,26.98,1300
COPX,13-Feb-2018,26.22,26.79,26.22,26.72,65700
CORN,13-Feb-2018,17.38,17.41,17.31,17.31,83400
CORP,13-Feb-2018,102.53,102.85,102.12,102.36,62400
COW,13-Feb-2018,23.55,23.56,23.36,23.44,28700
COWZ,13-Feb-2018,28.68,28.89,28.68,28.88,6700
CPER,13-Feb-2018,20.105,20.28,20.09,20.28,13200
CPHI,13-Feb-2018,0.28,0.35,0.28,0.33,857100
CPI,13-Feb-2018,27.47,27.47,27.37,27.43,7900
CQH,13-Feb-2018,28.79,28.83,28.42,28.5,202100
CQP,13-Feb-2018,30.18,30.53,30.07,30.27,263200
CQQQ,13-Feb-2018,58.83,59.78,58.7,59.72,144800
CRAK,13-Feb-2018,28.91,29.26,28.77,29.04,5000
CRBN,13-Feb-2018,116.29,116.99,116.1,116.99,6400
CRF,13-Feb-2018,15.4,15.42,15.29,15.34,268300
CRHM,13-Feb-2018,2.7,2.75,2.7,2.725,18200
CRMD,13-Feb-2018,0.525,0.532,0.5,0.517,545700
CROC,13-Feb-2018,45.065,45.07,45.001,45.07,700
CROP,13-Feb-2018,32.51,32.73,32.48,32.67,16700
CRVP,13-Feb-2018,0.96,1.05,0.96,0.96,738400
CSD,13-Feb-2018,52.16,52.33,51.88,52.26,20400
CSM,13-Feb-2018,65.8,66.42,65.8,66.37,23700
CTEK,13-Feb-2018,5,5,4.8,4.8,15200
CTNN,13-Feb-2018,33.08,33.08,33.08,33.08,100
CTO,13-Feb-2018,64.87,65.63,64.26,64.73,36300
CUMB,13-Feb-2018,25.069,25.095,24.97,24.97,2100
CUO,13-Feb-2018,19,19,18.75,18.75,500
CURE,13-Feb-2018,45.2,46.23,44.34,45.97,158400
CUT,13-Feb-2018,31.17,31.36,31.15,31.28,32200
CVM,13-Feb-2018,1.82,1.82,1.7,1.75,70300
CVM.W,13-Feb-2018,0.025,0.025,0.025,0.025,100
CVR,13-Feb-2018,30.84,31.73,30.84,31.73,200
CVRS,13-Feb-2018,0.96,0.97,0.9,0.92,468200
CVU,13-Feb-2018,8.1,8.2,8,8,10400
CVY,13-Feb-2018,21.89,22.02,21.79,22.02,24000
CWAI,13-Feb-2018,24.99,24.99,24.99,24.99,0
CWB,13-Feb-2018,50.11,50.51,50.07,50.47,1076600
CWEB,13-Feb-2018,53,55.67,53,55.17,108300
CWI,13-Feb-2018,38.44,38.67,38.43,38.64,100300
CWS,13-Feb-2018,30.62,30.675,30.581,30.581,1700
CYB,13-Feb-2018,26.94,27.05,26.8,27.03,3500
CZA,13-Feb-2018,63.79,64.28,63.67,64.28,12600
DAG,13-Feb-2018,2.9,2.92,2.89,2.92,1800
DALT,13-Feb-2018,9.96,10.02,9.95,10.02,3200
DAUD,13-Feb-2018,21.95,21.95,21.95,21.95,100
DBA,13-Feb-2018,18.94,18.97,18.89,18.94,981700
DBAP,13-Feb-2018,28.31,28.31,28.31,28.31,100
DBAW,13-Feb-2018,26.76,26.9,26.64,26.8,147100
DBB,13-Feb-2018,19.08,19.19,19.07,19.17,118700
DBBR,13-Feb-2018,13.12,13.28,13.01,13.01,1400
DBC,13-Feb-2018,16.19,16.29,16.16,16.26,1387300
DBE,13-Feb-2018,13.84,13.97,13.8,13.93,60700
DBEF,13-Feb-2018,30.37,30.53,30.35,30.49,721200
DBEM,13-Feb-2018,24.02,24.34,24.02,24.3,19800
DBES,13-Feb-2018,28.84,28.84,28.84,28.84,0
DBEU,13-Feb-2018,27.23,27.31,27.15,27.28,998600
DBEZ,13-Feb-2018,29.52,29.57,29.42,29.57,10500
DBGR,13-Feb-2018,26.98,27.03,26.91,27.02,14100
