Symbol,Date,Open,High,Low,Close,Volume
AAAP,19-Jan-2018,81.88,81.99,81.86,81.99,179400
AABA,19-Jan-2018,74.39,74.67,73.71,74.36,7203300
AAL,19-Jan-2018,58.59,58.59,57.76,58.06,3151200
AAME,19-Jan-2018,3.4,3.5,3.4,3.49,2800
AAOI,19-Jan-2018,34.87,36.18,34.015,35.03,2505600
AAON,19-Jan-2018,36.1,37.3,36.05,37.3,184400
AAPL,19-Jan-2018,178.61,179.58,177.41,178.46,32425000
AAWW,19-Jan-2018,61.5,62.6,60.85,62.05,252900
AAXJ,19-Jan-2018,81.14,81.32,80.82,81.32,494100
AAXN,19-Jan-2018,27.41,27.57,27.16,27.48,331300
ABAC,19-Jan-2018,2.84,3,2.68,2.99,29600
ABAX,19-Jan-2018,60.74,61.39,60.66,61.16,144500
ABCB,19-Jan-2018,53.35,53.85,53.3,53.85,173200
ABCD,19-Jan-2018,6.91,7.07,6.85,6.86,129400
ABDC,19-Jan-2018,8.33,8.37,8.3,8.36,73500
ABEO,19-Jan-2018,14.65,14.925,14.245,14.6,422100
ABEOW,19-Jan-2018,9.82,9.82,9.55,9.55,700
ABIL,19-Jan-2018,0.5,0.51,0.48,0.49,114900
ABIO,19-Jan-2018,1.55,1.65,1.55,1.6,316500
ABLX,19-Jan-2018,42.22,42.38,41.25,41.63,188100
ABMD,19-Jan-2018,227.33,229.05,226.09,228.29,179200
ABTX,19-Jan-2018,39.6,40,38.45,39.4,38400
ABUS,19-Jan-2018,5.2,5.25,5.05,5.2,99700
ACAD,19-Jan-2018,27.82,28.09,26.85,26.92,3534800
ACBI,19-Jan-2018,17.65,17.95,17.65,17.75,65700
ACER,19-Jan-2018,19.07,19.25,18.775,19.1,25700
ACERW,19-Jan-2018,0.02,0.02,0.01,0.01,150600
ACET,19-Jan-2018,11.05,11.19,10.96,11.16,132100
ACFC,19-Jan-2018,10.29,10.35,10.24,10.35,125800
ACGL,19-Jan-2018,90.01,91.31,89.71,91.15,482500
ACGLO,19-Jan-2018,25.4,25.83,25.27,25.78,833200
ACGLP,19-Jan-2018,24.75,24.97,24.64,24.86,124800
ACHC,19-Jan-2018,33.18,34.07,33.07,34.01,1463300
ACHN,19-Jan-2018,2.93,2.99,2.84,2.99,1687600
ACHV,19-Jan-2018,1.5,1.52,1.46,1.48,6300
ACIA,19-Jan-2018,36.75,37.3,36.51,36.8,224200
ACIU,19-Jan-2018,13.2,13.21,13,13.14,23900
ACIW,19-Jan-2018,22.68,23.34,22.64,23.21,607100
ACLS,19-Jan-2018,25.45,26.2,25.05,26,856500
ACMR,19-Jan-2018,4.82,5.03,4.8,4.99,30300
ACNB,19-Jan-2018,30.25,30.5,30.25,30.45,4100
ACOR,19-Jan-2018,28.65,28.85,26.6,27.2,3988000
ACRS,19-Jan-2018,24.38,24.81,23.87,24.4,319600
ACRX,19-Jan-2018,2.05,2.05,2,2.05,160000
ACSF,19-Jan-2018,11.2,11.35,11.1,11.25,50500
ACST,19-Jan-2018,1.05,1.05,1.01,1.02,327400
ACT,19-Jan-2018,26.46,26.5,26.22,26.44,20600
ACTA,19-Jan-2018,15.75,15.9,15.6,15.85,140300
ACTG,19-Jan-2018,3.7,3.8,3.67,3.8,172800
ACWI,19-Jan-2018,75.8,75.94,75.63,75.92,1318700
ACWX,19-Jan-2018,52.71,52.74,52.53,52.71,497500
ACXM,19-Jan-2018,28.01,28.34,27.895,28.32,229100
ADAP,19-Jan-2018,7.68,8.15,7.46,8.09,415000
ADBE,19-Jan-2018,196.24,196.63,194.65,195.73,2342900
ADES,19-Jan-2018,8.1,8.29,8.04,8.25,130600
ADI,19-Jan-2018,97.64,97.94,96.14,96.14,2762300
ADMA,19-Jan-2018,3.7,3.7,3.52,3.54,81700
ADMP,19-Jan-2018,4.2,4.45,4.15,4.35,452700
ADMS,19-Jan-2018,37.64,38.28,37.435,38.19,475800
ADOM,19-Jan-2018,2.03,2.06,1.95,2.01,282000
ADP,19-Jan-2018,121.19,121.98,120.35,121.44,1963100
ADRA,19-Jan-2018,37.12,37.16,36.975,37.103,2200
ADRD,19-Jan-2018,24.8,24.86,24.8,24.86,2400
ADRE,19-Jan-2018,46.65,46.65,46.24,46.56,11500
ADRO,19-Jan-2018,6.85,7.3,6.75,7.3,637500
ADRU,19-Jan-2018,24.005,24.14,24.005,24.11,7200
ADSK,19-Jan-2018,112.96,115.91,112.37,115.29,2804200
ADTN,19-Jan-2018,16.65,16.8,16.25,16.4,1046200
ADUS,19-Jan-2018,37,39.25,36.7,39.15,25200
ADVM,19-Jan-2018,4.7,4.95,4.65,4.9,879000
