Symbol,Date,Open,High,Low,Close,Volume
A,13-Feb-2018,67.97,68.49,67.66,68.34,1825500
AA,13-Feb-2018,46.39,47.98,46.12,47.3,2811000
AAC,13-Feb-2018,8.05,8.21,7.97,8.19,58600
AAN,13-Feb-2018,39.41,39.72,39.01,39.51,604800
AAP,13-Feb-2018,109.17,109.99,105.96,106.22,1392000
AAT,13-Feb-2018,32.54,33.09,32.32,32.98,147800
AAV,13-Feb-2018,3.1,3.1,2.95,3,120000
AB,13-Feb-2018,26.7,27.15,26.3,26.35,406500
ABB,13-Feb-2018,24.38,24.445,24.267,24.36,1710900
ABBV,13-Feb-2018,111.54,112.41,110.39,111.86,5316100
ABC,13-Feb-2018,101.67,102,95.94,97.77,9725700
ABEV,13-Feb-2018,6.65,6.7,6.63,6.67,12747500
ABG,13-Feb-2018,68.65,69.05,66.95,67.9,108600
ABM,13-Feb-2018,35.21,35.49,34.95,35.29,338200
ABR,13-Feb-2018,8.09,8.28,8.08,8.25,420400
ABR-A,13-Feb-2018,25.44,25.49,25.4,25.49,6100
ABR-B,13-Feb-2018,25.27,25.35,25.27,25.35,1400
ABR-C,13-Feb-2018,26.39,26.4,26.39,26.4,1400
ABRN,13-Feb-2018,25.5,25.5,25.46,25.5,3000
ABT,13-Feb-2018,57.14,57.79,56.81,57.64,5816600
ABX,13-Feb-2018,13.35,13.36,13.09,13.22,9466100
AC,13-Feb-2018,34.6,34.75,34.35,34.6,14300
ACC,13-Feb-2018,35.85,36.02,35.48,35.96,567900
ACCO,13-Feb-2018,11,11.25,11,11.15,1592200
ACH,13-Feb-2018,14.88,14.89,14.76,14.88,54100
ACM,13-Feb-2018,35.04,35.45,34.49,34.9,1142200
ACN,13-Feb-2018,154.2,156.99,153.99,156.84,2059400
ACP,13-Feb-2018,13.86,13.98,13.86,13.92,41600
ACRE,13-Feb-2018,12.14,12.3,12.1,12.27,84000
ACV,13-Feb-2018,21.02,21.24,20.97,21.04,21800
ADC,13-Feb-2018,45.32,45.795,44.76,45.45,96100
ADM,13-Feb-2018,41.1,41.42,40.97,41.34,2449900
ADNT,13-Feb-2018,63.47,64.01,62.33,62.45,1029700
ADS,13-Feb-2018,247.11,248.45,243.97,246.26,472200
ADSW,13-Feb-2018,22.83,23.2,22.7,23.15,142400
ADT,13-Feb-2018,13,13.02,12.09,12.15,6081700
ADX,13-Feb-2018,14.9,15,14.84,14.96,166600
AEB,13-Feb-2018,24.32,24.44,24.1,24.11,44900
AED,13-Feb-2018,25.64,25.7,25.62,25.62,17700
AEE,13-Feb-2018,54.85,55.45,54.32,55.25,1201500
AEG,13-Feb-2018,6.57,6.62,6.55,6.59,2351900
AEH,13-Feb-2018,25.57,25.63,25.56,25.56,52100
AEK,13-Feb-2018,26.49,26.55,26.36,26.37,24400
AEL,13-Feb-2018,30.06,30.3,29.86,30.16,440200
AEM,13-Feb-2018,44.06,44.13,43.445,43.92,1198800
AEO,13-Feb-2018,17.3,17.65,17.09,17.65,2867600
AEP,13-Feb-2018,64.81,65.82,64.19,65.58,3859200
AER,13-Feb-2018,51.5,51.95,51.21,51.66,1800300
AES,13-Feb-2018,10.26,10.39,10.16,10.32,6312200
AET,13-Feb-2018,177.04,178.75,176.82,178.52,2011500
AEUA,13-Feb-2018,35.27,36.97,35.18,36.97,3400
AFB,13-Feb-2018,12.67,12.76,12.67,12.76,89800
AFC,13-Feb-2018,25.29,25.36,25.275,25.33,14500
AFG,13-Feb-2018,108.78,109.33,108.08,109.16,267500
AFGE,13-Feb-2018,25.77,25.85,25.53,25.53,18600
AFGH,13-Feb-2018,25.27,25.49,25.21,25.25,20700
AFI,13-Feb-2018,14.09,14.36,14.06,14.16,190100
AFL,13-Feb-2018,84.91,86.4,84.83,86.07,1766800
AFS-A,13-Feb-2018,18.2,18.2,17.91,17.93,7100
AFS-B,13-Feb-2018,18.41,18.6,18.4,18.6,8800
AFS-C,13-Feb-2018,18.87,19,18.7,19,8400
AFS-D,13-Feb-2018,18.72,18.95,18.72,18.82,35000
AFS-E,13-Feb-2018,19.11,19.31,19,19.2,23200
AFS-F,13-Feb-2018,18.56,18.56,18.35,18.46,24800
AFSS,13-Feb-2018,22.52,22.83,22.5,22.83,16200
AFST,13-Feb-2018,23.88,24.53,23.88,24.5,5400
AFT,13-Feb-2018,16.22,16.22,16.16,16.18,26700
AG,13-Feb-2018,5.65,5.83,5.58,5.68,3185900
AGC,13-Feb-2018,5.72,5.76,5.72,5.74,98500
AGCO,13-Feb-2018,67.72,68.54,66.84,68.25,553200
AGD,13-Feb-2018,10.66,10.75,10.66,10.67,109200
AGI,13-Feb-2018,5.45,5.46,5.33,5.38,930000
AGM,13-Feb-2018,74.7,76.84,74.7,75.65,20100
AGM-A,13-Feb-2018,25.26,25.26,25.2,25.2,1500
AGM-B,13-Feb-2018,26.4,26.4,26.05,26.07,13200
AGM-C,13-Feb-2018,26.75,26.75,26.75,26.75,100
AGM.A,13-Feb-2018,72.44,72.44,72.44,72.44,200
AGN,13-Feb-2018,161.25,162.46,156.11,158.72,3247900
AGN-A,13-Feb-2018,581.23,581.23,565.59,570.94,68700
AGO,13-Feb-2018,34.73,35.15,34.29,35.14,974000
AGO-B,13-Feb-2018,25.75,25.75,25.7,25.7,300
AGO-E,13-Feb-2018,25.2,25.2,25.03,25.03,5700
AGO-F,13-Feb-2018,24.4,24.85,24.4,24.7,6400
AGR,13-Feb-2018,47.91,48.21,47.42,48.08,584200
AGRO,13-Feb-2018,9.33,9.44,9.01,9.01,620500
AGS,13-Feb-2018,20.01,20.01,19.16,19.76,105900
AGX,13-Feb-2018,39.1,39.75,39.1,39.5,110100
AHC,13-Feb-2018,5.05,5.15,5.05,5.15,17200
AHH,13-Feb-2018,13.19,13.47,13.18,13.43,509400
AHL,13-Feb-2018,36.5,36.9,36.225,36.8,861400
AHL-C,13-Feb-2018,25.87,26.08,25.87,25.94,8900
AHL-D,13-Feb-2018,24.43,24.615,24.384,24.615,13800
AHP,13-Feb-2018,8.94,9.06,8.84,9.03,144800
AHP-B,13-Feb-2018,18.45,18.45,18.2,18.36,6000
AHT,13-Feb-2018,5.67,5.8,5.61,5.76,323400
AHT-D,13-Feb-2018,25.2,25.25,25.17,25.2,8100
AHT-F,13-Feb-2018,22.98,22.99,22.65,22.75,13000
AHT-G,13-Feb-2018,23,23.11,22.73,22.92,19100
AHT-H,13-Feb-2018,22.98,23.05,22.95,23.05,15400
AHT-I,13-Feb-2018,23,23.08,22.95,23.06,15900
AI,13-Feb-2018,10.66,10.96,10.62,10.89,622800
AI-B,13-Feb-2018,24.9,24.9,24.9,24.9,1600
AIC,13-Feb-2018,24.1,24.3,24.08,24.28,1700
AIF,13-Feb-2018,15.62,15.67,15.54,15.55,56100
AIG,13-Feb-2018,59.13,59.745,58.68,59.43,4948300
AIG.W,13-Feb-2018,19.33,19.65,18.75,19.32,139900
AIN,13-Feb-2018,62.75,63.9,62.575,63.75,91600
AIR,13-Feb-2018,39.48,39.86,39.13,39.8,265300
AIT,13-Feb-2018,69.35,70.25,69.175,70.05,203100
AIV,13-Feb-2018,39.17,39.43,38.9,39.28,838700
AIV-A,13-Feb-2018,25.8,25.8,25.8,25.8,100
AIY,13-Feb-2018,25.48,25.58,25.48,25.58,2100
AIZ,13-Feb-2018,87.1,88.56,86.41,88.32,575900
AJG,13-Feb-2018,66.02,67.17,65.9,66.98,988600
AJRD,13-Feb-2018,26.36,26.56,26.2,26.55,950200
AJX,13-Feb-2018,12.98,13.09,12.89,13,36000
AJXA,13-Feb-2018,24.54,24.9,24.54,24.78,4700
AKO.A,13-Feb-2018,25.15,25.63,24.51,25.15,1800
AKO.B,13-Feb-2018,29.74,29.96,29.45,29.92,3800
AKP,13-Feb-2018,12.89,13,12.875,12.97,18600
AKR,13-Feb-2018,22.31,22.81,22.12,22.71,1178000
AKS,13-Feb-2018,4.73,4.91,4.7,4.84,12243400
AL,13-Feb-2018,44.35,45.05,44.31,44.6,715300
ALB,13-Feb-2018,111.6,112.6,108.08,108.45,2763400
ALE,13-Feb-2018,69.23,69.82,68.5,69.45,267400
ALEX,13-Feb-2018,22.77,22.99,22.3,22.85,469500
ALG,13-Feb-2018,109.4,111.17,108.25,109.86,53600
ALK,13-Feb-2018,65.45,67.18,65.25,66.89,2907200
ALL,13-Feb-2018,90.23,92.24,89.59,92.13,3503700
ALL-A,13-Feb-2018,25.06,25.14,25.05,25.07,12600
ALL-B,13-Feb-2018,25.62,25.68,25.51,25.51,29600
ALL-C,13-Feb-2018,25.8,25.81,25.73,25.78,34600
ALL-D,13-Feb-2018,25.85,26.025,25.85,25.939,9800
ALL-E,13-Feb-2018,25.85,25.9,25.81,25.86,61000
ALL-F,13-Feb-2018,25.84,26.1,25.84,25.96,66200
ALL-Y,13-Feb-2018,25.58,25.6,25.51,25.52,145800
ALLE,13-Feb-2018,79.47,80.4,78.94,79.65,623200
ALLY,13-Feb-2018,28,28.52,27.93,28.31,2187100
ALP-Q,13-Feb-2018,25.15,25.27,25.12,25.12,8300
ALSN,13-Feb-2018,41.48,41.97,41.08,41.72,1257100
ALV,13-Feb-2018,141.13,142.68,140.74,141.93,566000
ALX,13-Feb-2018,357.25,362.25,357.25,360.72,12200
AM,13-Feb-2018,27.96,28.31,27.47,28.25,666400
AMBR,13-Feb-2018,8.6,9.73,8.6,9.47,596500
AMC,13-Feb-2018,13.9,14.1,13.55,13.85,1858900
AME,13-Feb-2018,73.86,74.56,73.51,74.42,981300
AMG,13-Feb-2018,180.64,182.49,178.64,181.93,638600
AMGP,13-Feb-2018,19.56,19.83,19.39,19.81,585400
AMH,13-Feb-2018,19.03,19.3,18.845,19.21,1582000
AMH-C,13-Feb-2018,28.1,28.18,28.05,28.05,4300
AMH-D,13-Feb-2018,25.87,26,25.15,25.3,14100
AMH-E,13-Feb-2018,25.6,25.76,24.91,24.94,24700
AMH-F,13-Feb-2018,24.37,24.37,23.87,24,9300
AMH-G,13-Feb-2018,23.77,23.77,23.47,23.56,9800
AMID,13-Feb-2018,12.45,13,12.35,12.75,218600
AMN,13-Feb-2018,52.75,53.94,51.75,53.25,684100
AMOV,13-Feb-2018,17.85,17.85,17.66,17.77,8000
AMP,13-Feb-2018,154.78,157.48,153.62,156.62,1544900
AMRC,13-Feb-2018,8.2,8.45,8.16,8.35,35200
AMT,13-Feb-2018,136.03,136.92,134.86,136.31,3710200
AMT-B,13-Feb-2018,118.8,119.5,117.89,119.05,31600
AMX,13-Feb-2018,17.7,17.92,17.7,17.84,1722500
AN,13-Feb-2018,54.47,54.47,52.69,53.4,1094300
ANDV,13-Feb-2018,97.21,97.99,96.72,97.77,1173500
ANDX,13-Feb-2018,48.54,50.21,48.18,49.83,436200
ANET,13-Feb-2018,285,292.73,284.08,292.58,1017000
ANF,13-Feb-2018,20.14,20.935,20.126,20.91,1486600
ANFI,13-Feb-2018,4,4.03,3.99,4.03,94300
ANH,13-Feb-2018,4.68,4.77,4.67,4.75,587300
ANH-A,13-Feb-2018,26.09,26.09,25.5,25.7,7200
ANH-C,13-Feb-2018,24.96,25,24.85,24.94,9200
ANTM,13-Feb-2018,230.83,234.83,229.36,233.45,1397800
ANTX,13-Feb-2018,56.69,57.46,56.37,57.32,537400
ANW,13-Feb-2018,4.5,4.55,4.4,4.5,97100
AOD,13-Feb-2018,9.16,9.23,9.16,9.21,336800
AOI,13-Feb-2018,20,22.1,19.9,21.8,524500
AON,13-Feb-2018,139.03,139.89,137.92,139.23,1196600
AOS,13-Feb-2018,61.76,62.89,61.42,62.73,773800
AP,13-Feb-2018,10.9,10.9,9.95,10.3,66300
APA,13-Feb-2018,37.7,37.95,37.3,37.7,4334000
APAM,13-Feb-2018,34.1,34.25,33.05,33.35,725400
APB,13-Feb-2018,14.06,14.2,14.06,14.1,8500
APC,13-Feb-2018,57.33,57.89,56.77,57.18,4234700
APD,13-Feb-2018,159.27,160.06,157.64,159.44,1189300
APF,13-Feb-2018,17.95,18.325,17.95,18.26,7800
APH,13-Feb-2018,85.84,87.08,85.8,86.88,874500
APLE,13-Feb-2018,17.98,18.22,17.85,18.16,1290100
APO,13-Feb-2018,32.96,33.66,32.75,33.57,823700
APO-A,13-Feb-2018,25.22,25.38,25.15,25.15,59000
APRN,13-Feb-2018,3.66,4.2,3.27,3.35,15213800
APTS,13-Feb-2018,14.41,14.58,14.21,14.51,492600
APTV,13-Feb-2018,90.76,91.99,90.28,90.77,1036300
APU,13-Feb-2018,44.1,44.1,43.25,43.54,391000
AQ,13-Feb-2018,14,14.98,13.82,14.97,462100
AQN,13-Feb-2018,10.23,10.23,9.97,10.06,205300
AQUA,13-Feb-2018,20.94,21.18,20.61,20.97,281800
AR,13-Feb-2018,17.36,17.56,17.24,17.4,4250500
ARA,13-Feb-2018,17.87,18.96,17.87,18.79,158000
ARC,13-Feb-2018,2.17,2.25,2.17,2.22,115800
ARCH,13-Feb-2018,87.11,90.89,86.38,90.13,635100
ARCO,13-Feb-2018,9.55,9.65,9.45,9.5,188800
ARD,13-Feb-2018,17.55,18.21,17.43,18.01,82900
ARDC,13-Feb-2018,16.31,16.38,16.25,16.37,125800
ARE,13-Feb-2018,118.85,120.86,117.86,120.36,792400
ARE-A,13-Feb-2018,26.16,26.16,25.8,25.8,5700
ARE-D,13-Feb-2018,35.4,36.87,35.25,36.87,5600
ARES,13-Feb-2018,23.2,23.25,22.45,23.05,95200
ARI,13-Feb-2018,17.88,17.93,17.72,17.92,1529800
