Symbol,Date,Open,High,Low,Close,Volume
AADR,05-Jun-2015,39.43,39.43,39.43,39.43,200
AAMC,05-Jun-2015,163,174.02,163,171.29,9600
AAU,05-Jun-2015,0.88,0.89,0.87,0.89,65400
ACIM,05-Jun-2015,67.83,67.83,66.91,67.3,7700
ACU,05-Jun-2015,17.9,18.5,17.9,18.5,600
ACWF,05-Jun-2015,24.78,24.87,24.78,24.87,1600
ACWV,05-Jun-2015,71.22,71.22,70.8,70.91,59600
ACY,05-Jun-2015,8.97,9.1,8.97,9.1,500
ADZ,05-Jun-2015,33.5,33.5,33.5,33.5,0
AE,05-Jun-2015,44.1,44.69,43.67,44.56,4600
AFK,05-Jun-2015,25.11,25.26,25.04,25.11,5600
AFTY,05-Jun-2015,23.16,23.39,23.07,23.07,51000
AGA,05-Jun-2015,30,30,28.91,30,500
AGF,05-Jun-2015,11.52,11.52,11.52,11.52,200
AGG,05-Jun-2015,108.63,108.79,108.51,108.55,1619000
AGQ,05-Jun-2015,38,38.85,37.95,38.48,254100
AGZ,05-Jun-2015,113.25,113.25,112.41,112.82,25500
AINC,05-Jun-2015,102.65,104.65,98.77,98.81,4300
AIRI,05-Jun-2015,10.35,10.4,10.34,10.34,1000
AKG,05-Jun-2015,1.56,1.57,1.53,1.56,59800
ALD,05-Jun-2015,45.26,45.46,45.16,45.16,1500
ALFA,05-Jun-2015,45.54,45.93,45.54,45.83,32700
ALN,05-Jun-2015,1.68,1.72,1.68,1.72,59000
ALTS,05-Jun-2015,40.3,40.31,40.21,40.31,1300
AMJ,05-Jun-2015,41.61,42.3,41.45,42.16,1776700
AMLP,05-Jun-2015,16.06,16.32,16.06,16.26,6211900
AMPE,05-Jun-2015,2.72,2.86,2.72,2.79,558600
AMS,05-Jun-2015,2.42,2.42,2.36,2.36,1300
AMU,05-Jun-2015,26.2,26.66,26.16,26.6,436000
AMZA,05-Jun-2015,20.61,20.97,20.48,20.95,10500
ANGL,05-Jun-2015,27.56,27.61,27.51,27.55,9500
AOA,05-Jun-2015,47.94,47.94,47.63,47.83,55300
AOK,05-Jun-2015,32.48,32.62,32.48,32.53,15800
AOM,05-Jun-2015,35.39,35.47,35.25,35.36,48400
AOR,05-Jun-2015,40.95,40.96,40.71,40.84,74900
APT,05-Jun-2015,2.37,2.38,2.24,2.28,424200
ARGT,05-Jun-2015,21.12,21.5,21.12,21.45,8100
ARKG,05-Jun-2015,23.45,23.51,23.45,23.51,400
ARKK,05-Jun-2015,21.63,21.63,21.63,21.63,1400
ARKQ,05-Jun-2015,19.94,20.07,19.94,20.07,300
ARKW,05-Jun-2015,23.41,23.45,23.39,23.43,2700
ASB.W,05-Jun-2015,2.95,3.1,2.95,3.1,1300
ASEA,05-Jun-2015,14.93,15.04,14.92,14.94,9000
ASHR,05-Jun-2015,53.05,53.15,52.77,52.96,1944900
ASHS,05-Jun-2015,71.97,72.11,71.47,71.75,140700
ASM,05-Jun-2015,1.11,1.18,1.11,1.18,77700
AST,05-Jun-2015,11.5,11.6,10.5,10.71,338400
ATMP,05-Jun-2015,28.44,28.79,28.26,28.66,17200
ATNM,05-Jun-2015,3,3.03,2.76,2.86,1464800
AUMN,05-Jun-2015,0.42,0.42,0.4,0.4,68400
AUSE,05-Jun-2015,52.15,52.42,52.11,52.42,1600
AWX,05-Jun-2015,2.53,2.55,2.51,2.51,800
AXJL,05-Jun-2015,67.16,67.26,67.16,67.26,700
AXJV,05-Jun-2015,54,54,54,54,200
AXU,05-Jun-2015,0.42,0.43,0.41,0.41,85500
AYT,05-Jun-2015,43.05,43.05,43.05,43.05,100
BAA,05-Jun-2015,3,3.2,3,3.1,1050000
BAB,05-Jun-2015,28.75,28.98,28.75,28.78,72800
BAL,05-Jun-2015,43.79,43.89,43.38,43.82,6000
BAR,05-Jun-2015,24.89,25.06,24.89,25.06,2200
BBRC,05-Jun-2015,18.86,19.06,18.86,18.91,59300
BCM,05-Jun-2015,31.07,31.29,31,31.26,1600
BCV,05-Jun-2015,21.55,21.74,21.44,21.74,2100
BDCL,05-Jun-2015,21.31,21.37,21.15,21.24,81400
BDCS,05-Jun-2015,22.99,23.01,22.91,22.99,3700
BDD,05-Jun-2015,6.67,6.67,6.59,6.59,500
BDL,05-Jun-2015,26.45,28.3,26.45,28.04,2600
BDR,05-Jun-2015,0.85,0.85,0.76,0.81,115800
BFOR,05-Jun-2015,33.4,33.62,33.3,33.62,19000
BFY,05-Jun-2015,14.19,14.32,14.1,14.2,5400
BGI,05-Jun-2015,1.31,1.31,1.31,1.31,1400
BGSF,05-Jun-2015,11,11,10.99,10.99,5800
BHB,05-Jun-2015,36.99,37,36.35,36.8,14200
BHV,05-Jun-2015,16.95,16.95,16.95,16.95,2000
BIL,05-Jun-2015,45.72,45.72,45.7,45.71,721400
BIV,05-Jun-2015,83.71,83.81,83.5,83.62,239900
BIZD,05-Jun-2015,18.31,18.32,18.22,18.29,40300
BJK,05-Jun-2015,36.81,37.03,36.77,36.95,4100
BKF,05-Jun-2015,38.16,38.5,38.16,38.38,54100
BKJ,05-Jun-2015,11.31,11.36,11.18,11.36,800
BKLN,05-Jun-2015,23.99,24.04,23.99,23.99,2972600
BLE,05-Jun-2015,14.33,14.33,14.13,14.13,103100
BLJ,05-Jun-2015,14.58,14.59,14.21,14.28,12400
BLV,05-Jun-2015,88.29,88.69,88.1,88.22,159800
BND,05-Jun-2015,81.27,81.35,81.1,81.19,4115200
BNO,05-Jun-2015,22.02,22.79,21.96,22.74,134100
BOIL,05-Jun-2015,39.45,40.09,39.24,39.32,130000
BOM,05-Jun-2015,15.5,15.5,15.5,15.5,0
BOND,05-Jun-2015,106.87,107.04,106.57,106.68,62700
BOS,05-Jun-2015,23.04,23.04,23.04,23.04,0
BRF,05-Jun-2015,16.65,16.85,16.54,16.85,21500
BRG,05-Jun-2015,13.5,13.56,13.37,13.48,149800
