Symbol,Date,Open,High,Low,Close,Volume
AAAP,30-Oct-2017,80.35,80.7,80,80.5,8852500
AABA,30-Oct-2017,68.04,68.96,67.94,68.86,7764500
AAL,30-Oct-2017,47.65,47.67,46.83,47.25,5402500
AAME,30-Oct-2017,3.5,3.55,3.5,3.55,4100
AAOI,30-Oct-2017,39.3,42.25,38.89,42.12,1850600
AAON,30-Oct-2017,34.55,34.7,33.95,34.3,176700
AAPL,30-Oct-2017,163.89,168.07,163.72,166.72,44700700
AAWW,30-Oct-2017,61.95,61.95,60.75,61.5,266900
AAXJ,30-Oct-2017,74.63,74.875,74.448,74.59,548700
AAXN,30-Oct-2017,22.76,22.91,22.66,22.87,622000
ABAC,30-Oct-2017,3.3,3.39,3.26,3.3,5200
ABAX,30-Oct-2017,49.12,49.12,47.3,47.86,85000
ABCB,30-Oct-2017,48.75,48.75,47.5,47.9,158000
ABCD,30-Oct-2017,5.93,5.95,5.8,5.91,61200
ABDC,30-Oct-2017,9.8,9.91,9.4,9.53,120400
ABEO,30-Oct-2017,17.4,17.56,17.05,17.45,651100
ABEOW,30-Oct-2017,12.38,12.38,12.38,12.38,0
ABIL,30-Oct-2017,0.63,0.68,0.63,0.67,117400
ABIO,30-Oct-2017,1.3,1.3,1.2,1.2,48100
ABLX,30-Oct-2017,20.27,20.52,20.14,20.29,209000
ABMD,30-Oct-2017,179.56,180.12,177.4,179.48,394300
ABTX,30-Oct-2017,38.75,39.25,38.15,38.85,44800
ABUS,30-Oct-2017,5.95,6.15,5.81,6,148100
ACAD,30-Oct-2017,34.82,35.87,34.82,35.18,592800
ACBI,30-Oct-2017,17.05,17.15,16.5,16.6,95600
ACER,30-Oct-2017,17.73,17.73,17.47,17.47,3600
ACERW,30-Oct-2017,0.04,0.04,0.03,0.03,875800
ACET,30-Oct-2017,10.45,10.49,10.09,10.14,417100
ACFC,30-Oct-2017,8.96,8.98,8.66,8.94,3900
ACGL,30-Oct-2017,99.52,100.1,99.38,99.83,537500
ACGLO,30-Oct-2017,25.18,25.28,25.18,25.26,20300
ACGLP,30-Oct-2017,24.87,24.9,24.85,24.85,30500
ACHC,30-Oct-2017,32.2,33.44,30.76,31.33,2523500
ACHN,30-Oct-2017,3.94,4.11,3.91,4.06,1120900
ACHV,30-Oct-2017,2,2.09,1.72,1.81,216100
ACIA,30-Oct-2017,40.53,42.72,40.53,42.06,461100
ACIU,30-Oct-2017,11.7,11.845,11.62,11.71,44000
ACIW,30-Oct-2017,24.52,24.52,23.71,24.02,367700
ACLS,30-Oct-2017,32,32.4,31.65,32.1,673400
ACNB,30-Oct-2017,28.45,28.45,27.8,27.8,2200
ACOR,30-Oct-2017,26.95,28.2,26.9,27.3,782100
ACRS,30-Oct-2017,24.59,25.26,24.53,25.22,118200
ACRX,30-Oct-2017,1.9,1.95,1.8,1.85,537700
ACSF,30-Oct-2017,11.05,11.15,11.05,11.1,51200
ACST,30-Oct-2017,1.31,1.31,1.29,1.3,20200
ACTA,30-Oct-2017,15.4,15.45,15.35,15.4,102600
ACTG,30-Oct-2017,4.4,4.55,4.35,4.5,825900
ACWI,30-Oct-2017,70.06,70.21,70,70.08,771100
ACWX,30-Oct-2017,49.03,49.09,49,49.08,743900
ACXM,30-Oct-2017,25.13,25.13,24.7,24.95,475100
ADAP,30-Oct-2017,7.65,7.94,7.51,7.9,369100
ADBE,30-Oct-2017,177,177.48,174.45,176.03,2124200
ADES,30-Oct-2017,11.61,11.8,11.43,11.78,83300
ADI,30-Oct-2017,91.35,91.96,90.89,91.32,1248200
ADMA,30-Oct-2017,2.76,2.8,2.52,2.53,52600
ADMP,30-Oct-2017,5.4,5.44,5.1,5.2,533700
ADMS,30-Oct-2017,22.98,24.55,22.1,23.61,5220000
ADOM,30-Oct-2017,5.01,5.45,4.66,4.69,127700
ADP,30-Oct-2017,118.09,118.17,116.55,116.98,1382400
ADRA,30-Oct-2017,33.61,33.61,33.61,33.61,0
ADRD,30-Oct-2017,22.83,22.92,22.83,22.91,19100
ADRE,30-Oct-2017,42.68,42.98,42.46,42.49,10200
ADRO,30-Oct-2017,8.35,8.6,8.15,8.25,453500
ADRU,30-Oct-2017,22.38,22.38,22.28,22.29,2400
ADSK,30-Oct-2017,123.04,124.28,121.9,123.91,1610400
ADTN,30-Oct-2017,21.45,21.45,20.975,21.2,337600
ADUS,30-Oct-2017,35.9,35.9,35,35.35,28200
ADVM,30-Oct-2017,3.15,3.3,3.1,3.25,287200
ADXS,30-Oct-2017,3.17,3.42,3.17,3.4,766400
ADXSW,30-Oct-2017,1.42,1.42,1.18,1.35,8100
AEGN,30-Oct-2017,23.36,23.42,22.96,23.26,128800
AEHR,30-Oct-2017,3.54,3.54,3.41,3.44,24700
AEIS,30-Oct-2017,94.32,95,92,93.64,655500
AEMD,30-Oct-2017,1,1,0.97,0.98,98900
AERI,30-Oct-2017,63.55,63.55,60.15,60.95,481500
AETI,30-Oct-2017,1.6,1.625,1.6,1.6,75800
AEY,30-Oct-2017,1.47,1.49,1.47,1.47,29800
AEZS,30-Oct-2017,1.83,1.94,1.83,1.88,96800
AFAM,30-Oct-2017,46.35,46.35,44.3,44.7,71200
AFH,30-Oct-2017,20.1,20.15,19.55,19.7,14800
AFHBL,30-Oct-2017,26.53,26.57,25.89,26.1,8500
AFMD,30-Oct-2017,1.95,2.05,1.95,2.05,211600
AFSI,30-Oct-2017,12.64,12.96,12.56,12.65,388900
AGEN,30-Oct-2017,3.7,3.7,3.53,3.55,1470900
AGFS,30-Oct-2017,5.88,5.95,5.86,5.93,82800
AGFSW,30-Oct-2017,0.34,0.34,0.34,0.34,0
AGII,30-Oct-2017,63.85,64.05,62.75,62.85,150600
AGIIL,30-Oct-2017,25.36,25.39,25.34,25.34,9000
