Symbol,Date,Open,High,Low,Close,Volume
A,03-Feb-2017,49.09,49.47,49.06,49.38,1191800
AA,03-Feb-2017,37.87,38.05,36.83,36.86,5243200
AAC,03-Feb-2017,8.17,8.35,8.03,8.17,94700
AAN,03-Feb-2017,30.81,30.95,29.8,29.93,948200
AAP,03-Feb-2017,162.98,163.7,161.92,162.75,850500
AAT,03-Feb-2017,42.84,42.93,42.55,42.9,174700
AAV,03-Feb-2017,6.5,6.53,6.43,6.5,80200
AB,03-Feb-2017,23.9,23.97,23.55,23.75,365500
ABB,03-Feb-2017,23.58,23.69,23.56,23.63,3017000
ABBV,03-Feb-2017,60.9,61.06,60.44,60.67,6470200
ABC,03-Feb-2017,88.57,89.61,87.74,89.28,2990300
ABEV,03-Feb-2017,5.48,5.54,5.46,5.49,9229500
ABG,03-Feb-2017,65,66.15,64.2,64.45,264600
ABM,03-Feb-2017,40.35,40.96,40.2,40.86,303300
ABR,03-Feb-2017,7.43,7.43,7.39,7.4,97400
ABR-A,03-Feb-2017,25.61,25.61,25.61,25.61,400
ABR-B,03-Feb-2017,25.5,25.5,25.5,25.5,100
ABR-C,03-Feb-2017,25.83,25.85,25.83,25.85,400
ABRN,03-Feb-2017,25.48,25.84,25.43,25.48,6100
ABT,03-Feb-2017,42.94,43.13,42.54,42.78,11641900
ABX,03-Feb-2017,18.82,19.18,18.77,18.93,11773400
AC,03-Feb-2017,35.6,36.7,35.6,36.7,7800
ACC,03-Feb-2017,48.67,48.88,48.21,48.34,652000
ACCO,03-Feb-2017,12.85,12.95,12.7,12.85,317900
ACH,03-Feb-2017,12.98,12.98,12.9,12.9,42400
ACM,03-Feb-2017,37.04,37.61,36.64,37.22,770600
ACN,03-Feb-2017,114,114.83,113.34,114.49,1664200
ACP,03-Feb-2017,14.25,14.25,14.06,14.21,136700
ACRE,03-Feb-2017,13.45,13.54,13.43,13.45,69800
ACV,03-Feb-2017,19.95,20.16,19.88,20.05,28900
ADC,03-Feb-2017,47.06,47.32,46.75,46.87,120100
ADM,03-Feb-2017,44.18,44.39,43.9,43.99,3292300
ADNT,03-Feb-2017,66.38,66.48,62.07,63.02,1180000
ADS,03-Feb-2017,227.38,229.58,227.38,228.14,464200
ADSW,03-Feb-2017,22.23,22.25,21.55,21.82,78300
ADX,03-Feb-2017,13.22,13.29,13.22,13.25,246900
AEB,03-Feb-2017,23.07,23.34,23.07,23.17,14600
AED,03-Feb-2017,25.9,26.01,25.9,25.96,13900
AEE,03-Feb-2017,52.78,52.97,52.54,52.69,623300
AEG,03-Feb-2017,5.62,5.65,5.61,5.62,1189900
AEH,03-Feb-2017,25.39,25.41,25.37,25.41,76200
AEK,03-Feb-2017,25.75,25.81,25.73,25.74,58900
